student_id,age,gender,education_level,avg_sleep_hours,screen_time_hours,social_media_hours,study_hours_per_day,exercise_hours_per_week,caffeine_drinks_per_day,stress_level,anxiety_score,gpa,uses_sleep_app,feels_burned_out
1,21,Non-binary,High School,8,4.9,3.7,5,4.8,1,7,7,3.35,FALSE,TRUE
2,19,Female,Undergraduate,7.3,7.7,5.3,2.8,4.2,1,8,8,2.81,TRUE,TRUE
3,19,Male,Undergraduate,6.1,7.3,3.6,3.6,5.8,1,8,10,3.01,TRUE,TRUE
4,16,Male,High School,6.2,7.4,4,0.4,2,4,9,10,2.76,FALSE,TRUE
5,20,Male,Graduate,5.6,12.5,8.3,2.6,6.2,3,10,10,2.67,FALSE,TRUE
6,19,Male,High School,6.4,5,0.7,4.6,5.3,1,7,,3.24,TRUE,TRUE
7,18,Male,Undergraduate,7.7,3.3,1.5,5.1,4.6,1,8,,3.19,FALSE,TRUE
8,20,Male,Graduate,7.8,8.4,4.9,5,4.7,0,6,5,3.85,TRUE,FALSE
9,21,Male,Graduate,7.7,4.6,1.2,5,8.3,1,5,3,3.47,FALSE,FALSE
10,18,Male,High School,8.8,5.3,2.5,2.1,6.3,1,8,7,3.51,TRUE,TRUE
11,24,Female,High School,8.8,3.8,2.5,6.6,1.9,1,5,4,4,TRUE,FALSE
12,17,Male,High School,7.6,7,3.6,4.2,2.1,3,7,8,3.21,FALSE,TRUE
13,19,Female,High School,7.3,11.6,7.5,2.1,5.9,0,8,9,2.88,FALSE,TRUE
14,20,Female,Undergraduate,6.9,7.6,3.9,2.9,3.7,1,9,7,2.53,FALSE,TRUE
15,15,Prefer not to say,Graduate,7.4,5.8,2.7,1.8,4.1,1,6,6,3.83,TRUE,FALSE
16,18,Female,High School,7.3,5.6,2.9,5,3,0,8,9,3.46,FALSE,TRUE
17,22,Female,Undergraduate,7.3,5.9,3.4,4.3,2.5,6,5,3,3.96,TRUE,FALSE
18,19,Male,High School,6.1,5.4,1.2,3.5,5,3,6,8,3.41,FALSE,FALSE
19,20,Male,Undergraduate,6.6,8.2,4.9,3.8,3.9,4,7,8,3.31,TRUE,TRUE
20,15,Male,Undergraduate,8.9,7.3,2.6,4.7,0.5,2,7,8,3.63,TRUE,TRUE
21,19,Male,High School,7.2,5.7,3,3.3,2.1,4,4,6,3.6,TRUE,FALSE
22,16,Male,Undergraduate,8.1,5.8,1.3,1,6.1,1,6,8,3.72,FALSE,FALSE
23,18,Female,Undergraduate,7.5,5.2,3.7,5,2.7,4,7,6,3.19,TRUE,TRUE
24,17,Male,High School,7.1,4.9,1.1,0.7,3.2,0,9,8,2.92,TRUE,TRUE
25,25,Female,Undergraduate,8.7,3.4,2.8,4.5,6.6,1,5,4,3.46,TRUE,FALSE
26,19,Male,Undergraduate,6.5,5.6,3.4,4.5,4.4,1,5,3,3.05,TRUE,FALSE
27,20,Female,Undergraduate,9.5,3.6,2.2,3,3.6,1,6,5,3.26,FALSE,FALSE
28,18,Prefer not to say,High School,8.3,4.5,3.8,2.4,0,3,8,7,3.45,FALSE,TRUE
29,21,Male,Undergraduate,6.3,9.1,3.7,1.5,4.7,5,7,8,2.4,FALSE,TRUE
30,16,Male,Undergraduate,7.6,6.8,3.3,2.6,1,1,10,10,3,FALSE,TRUE
31,17,Male,Undergraduate,6.7,7.2,4.8,0.7,4.9,1,9,7,3,TRUE,TRUE
32,21,Prefer not to say,High School,7.7,4.7,4.8,3,0,0,6,8,3.63,FALSE,FALSE
33,18,Male,Graduate,8.2,6.5,4,4.5,0.6,2,9,8,3.06,TRUE,TRUE
34,21,Female,High School,7.9,6.4,2.8,0.6,4.2,1,8,8,3.65,FALSE,TRUE
35,14,Male,Graduate,8.1,7.8,4.1,2.9,6.7,1,6,5,3.58,FALSE,FALSE
36,18,Female,Undergraduate,7.9,6.9,5.1,4.8,0,1,8,7,3.22,FALSE,TRUE
37,24,Female,Undergraduate,7.7,6.5,4.6,5.2,4.2,1,4,3,3.53,FALSE,FALSE
38,26,Male,Graduate,6.8,4.6,0.3,3.5,4.4,3,7,6,3.06,FALSE,TRUE
39,19,Female,High School,7.2,4.9,2.8,0.5,6.3,0,7,9,3.7,FALSE,TRUE
40,18,Male,High School,7.5,5,3.4,1.5,5.2,2,8,6,3.66,FALSE,TRUE
41,21,Male,High School,5.9,4.2,2.2,1.5,2,3,8,9,3.54,TRUE,TRUE
42,20,Female,Graduate,6.9,7.4,3.1,4.4,0.8,0,8,9,3.24,FALSE,TRUE
43,16,Female,High School,7.4,6.6,5.5,4.4,1.1,2,9,8,3.04,FALSE,TRUE
44,21,Female,High School,8,5.8,2.8,2.3,0,3,8,7,3.15,FALSE,TRUE
45,18,Female,Undergraduate,6,6.8,5,3.9,0.7,1,9,9,2.99,FALSE,TRUE
46,21,Female,Graduate,7.3,4.4,1.8,1.4,8.1,1,6,6,3.08,FALSE,FALSE
47,23,Male,Graduate,7.8,4.4,2.3,2.7,9.5,0,5,6,3.83,TRUE,FALSE
48,18,Female,Undergraduate,9.5,4.4,2.3,3,1.3,1,3,1,3.58,FALSE,FALSE
49,17,Male,High School,8,7.9,5.2,3.3,2.9,6,8,7,3.31,TRUE,TRUE
50,21,Female,Undergraduate,6.4,8.5,4.3,1.4,6.9,2,6,8,3.79,TRUE,FALSE
51,23,Female,Undergraduate,8.2,5.9,3.3,3.8,2,1,5,6,3.84,FALSE,FALSE
52,22,Male,Undergraduate,5.8,9.2,3,0.7,9,0,8,8,3.36,TRUE,TRUE
53,15,Male,Graduate,6.1,7.1,3.5,1.4,6.8,2,7,5,3.29,TRUE,TRUE
54,17,Male,High School,7.1,5.6,0.4,2.1,3.9,1,7,9,3.61,TRUE,TRUE
55,20,Female,Undergraduate,7.2,7,3.5,4.5,4.2,3,9,7,2.54,TRUE,TRUE
56,18,Male,Undergraduate,6.8,8.8,4.5,3.8,6.7,1,10,8,2.96,FALSE,TRUE
57,22,Male,Undergraduate,8.2,8,4.9,1.8,3.5,2,5,6,3.58,FALSE,FALSE
58,18,Female,Undergraduate,6.7,4.9,2.7,3.5,0,1,8,6,2.44,FALSE,TRUE
59,23,Female,Undergraduate,8.5,6.2,5.2,4.6,2.9,0,7,7,3.32,TRUE,TRUE
60,17,Female,Undergraduate,9,5.7,4.4,6,7,4,6,,3.46,TRUE,FALSE
61,19,Female,High School,9.6,3,3,4,2.8,1,6,4,3.97,FALSE,FALSE
62,15,Male,High School,9.4,4.2,3.6,4,5,0,6,5,3.39,FALSE,FALSE
63,14,Male,High School,6.5,8.1,4.5,1.7,2.9,1,9,,2.68,FALSE,TRUE
64,25,Female,High School,8.1,6.6,2.9,3.6,6.5,4,10,,3.05,TRUE,TRUE
65,22,Female,Undergraduate,8.6,6.1,3.8,3.3,4.3,1,9,9,3.35,FALSE,TRUE
66,23,Male,Graduate,7.5,7,2.4,2.6,6.4,1,4,6,3.88,FALSE,FALSE
67,15,Female,High School,7.1,6.9,5.7,1.1,3.4,6,7,5,3.05,FALSE,TRUE
68,21,Male,Undergraduate,5.9,7.9,2.2,1.9,5.8,3,6,,2.96,FALSE,FALSE
69,25,Female,Undergraduate,8.6,8.6,5,2.1,2.1,1,9,,3.35,FALSE,TRUE
